"","Genus","meanDBH","stdDBH","maxDBH","minDBH","girth_cm","sd_girth_cm","girth_max","girth_min","mean_age","age_sd","maxage","minage"
"1","Total",8.20416666666667,5.37792803308839,26,3.2,25.7610833333333,16.8866940238976,81.64,10.048,10.3044333333333,6.75467760955902,32.656,4.0192
"2","Alnus",8.5,8.71681462134289,22.6,3.2,26.69,27.3707979110167,70.964,10.048,10.676,10.9483191644067,28.3856,4.0192
"3","Betula",8.37058823529412,4.84608741974981,26,3.4,26.2836470588235,15.2167144980144,81.64,10.676,10.5134588235294,6.08668579920576,32.656,4.2704
"4","Sorbus",6.86666666666667,2.83172503373238,10.2,3.9,21.5613333333333,8.89161660591968,32.028,12.246,8.62453333333333,3.55664664236787,12.8112,4.8984
